"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"일시","0시-1시","1시-2시","2시-3시","3시-4시","4시-5시","5시-6시","6시-7시","7시-8시","8시-9시","9시-10시","10시-11시","11시-12시","12시-13시","13시-14시","14시-15시","15시-16시","16시-17시","17시-18시","18시-19시","19시-20시","20시-21시","21시-22시","22시-23시","23시-24시","총 걸음수"
"X19.03.25","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 158"," 110","  13","   0"," 316","   0","1009","  18"," 219","   0"," 686","  30"," 725"," 582","3866"
"X19.03.26"," 184","   0","   0","   0","   0","   0","   0","   0","   0","  40"," 248"," 222"," 719"," 147","1243","   0"," 147"," 236"," 255"," 122","  29","   0"," 926","   0","4518"
"X19.03.27","   0"," 551","   0","   0","   0","   0","   0","   0","   0","   0"," 294"," 842","1454","  96","1820","   0","   5","   0","   0","   0"," 249"," 427"," 430"," 224","6392"
"X19.03.28","   0","   0","   0","   0","   0","   0","   0","   0","   0","  50"," 312","   0","1225","1338"," 330"," 257"," 202"," 781"," 473","1060","   0"," 100"," 920","  25","7073"
"X19.03.29","   0","   0","   0","   0","   0","   0","   0","   0","   0","  35"," 253"," 150"," 389","   0"," 283","   0"," 375"," 721","  86","   0","  49","  14"," 244","2457","5056"
"X19.03.30","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 191","   0"," 480"," 405","   0","   0","   0","   0","   0","   0"," 765"," 558"," 494","   0","2893"
"X19.03.31","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","  62"," 363","1362","1855"," 790","   0","3166","1113","   0","8742"
"X19.04.01","  21","   0","   0","   0","   0","   0","   0","   0","   0","  10","  98","  70"," 384","   0","1416","   0","1129"," 687","1314"," 780"," 846","   0"," 580"," 480","7815"
"X19.04.02","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9"," 113"," 130"," 845","2444"," 747"," 166"," 990"," 379"," 518","   0","   0","  58"," 915","  35","7349"
"X19.04.03","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 154"," 837","1311","  92","   0","   0","   8","  47","1881","   0","1175"," 497","  26","   5","6037"
"X19.04.04","    0","    0","    0","    0","    0","    0","    0","    0","    0","   56","  221","   85","  970"," 1315"," 1109","  410","  528","  419"," 1198","    0","  797","  103"," 3084","    0","10295"
"X19.04.05","  33","   0","   0","   0","   0","   0","   0","   0","   0","  31"," 282"," 125"," 355"," 441"," 640","   0","  35","  28","   0"," 279"," 804","  56","  32","   0","3141"
"X19.04.06","   0","   0","   0","   0","   0","   0","   0","   0","   0","  29"," 191","  35","   0","1586","   0","   0","   0","   0","   0","   0"," 221"," 208","  82","  20","2372"
"X19.04.07","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  40","   0","  23","  20","   0","   0","   0","   8","1902"," 844","   0","   0","2837"
