locate,id,1林,2林,3林,4林,5林,6林,7林,8林,9林,10林,11林,12林,13林,14林,15林,16林,17林,18林,19林,20林,21林,22林,23林,24林,25林,26林,27林,28林,29林,30林,31林,32林,33林,34林,35林,36林,37林,38林,39林,40林,41林,42林,43林,44林,45林,46林,47林,48林,49林,50林,51林,52林
辑匡,9,684,554,424,221,261,155,107,75,54,54,47,40,45,35,56,63,62,40,73,56,68,49,32,46,23,21,16,6,4,13,0,4,1,0,1,0,1,2,0,1,0,1,0,1,1,0,1,0,1,1,0,1
何魂,8,21,35,11,11,35,27,16,17,22,12,21,100,124,85,96,38,49,58,73,60,57,38,50,24,20,25,6,9,2,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
措备,6,24,33,18,14,27,22,20,10,12,14,11,40,27,34,68,60,55,23,35,73,53,44,30,23,19,5,4,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牢玫,12,232,232,145,54,59,52,44,16,13,41,19,8,19,16,64,26,36,22,37,40,35,28,29,23,16,8,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
堡林,5,138,114,96,50,126,86,46,41,14,28,18,46,48,37,63,80,78,74,90,67,63,36,26,20,12,6,5,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
措傈,7,71,58,39,33,18,18,15,5,5,9,6,33,31,26,67,66,50,42,64,50,59,37,25,10,3,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
匡魂,11,21,11,5,5,8,11,0,5,10,26,21,18,22,15,52,28,51,26,40,26,28,16,8,3,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
版扁,2,386,307,189,88,115,77,73,62,68,66,65,124,111,78,122,119,115,93,94,84,96,59,55,27,10,10,2,5,3,1,1,2,1,2,0,0,0,0,1,0,0,0,2,1,1,0,2,1,0,0,0,1
碍盔,1,107,118,88,43,59,58,34,36,37,41,45,99,87,60,126,117,160,68,122,124,102,113,60,46,47,23,28,13,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
面合,17,92,53,51,15,20,26,10,4,11,16,21,33,29,43,60,33,38,36,40,20,18,13,27,4,6,8,2,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
面巢,16,67,28,14,11,8,23,12,20,14,20,27,51,58,57,117,85,80,52,24,28,10,2,26,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
傈合,14,115,104,44,19,41,27,21,7,19,13,43,71,41,77,72,100,48,36,28,45,46,22,14,5,5,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
傈巢,13,158,168,136,99,107,90,75,97,54,89,50,82,80,113,219,158,190,120,159,134,110,53,75,32,25,10,14,7,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
版合,4,56,97,57,39,43,27,32,47,32,34,34,70,98,109,122,123,94,122,124,136,99,64,38,32,7,18,6,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
版巢,3,109,100,58,40,41,31,22,29,23,48,38,94,107,41,52,31,24,30,36,17,20,12,4,7,1,2,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
力林,15,158,153,84,43,33,23,17,22,9,7,1,9,5,2,4,2,2,0,2,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
技辆,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
