일자,시간,걸음수
03-28,1,
03-28,2,
03-28,3,
03-28,4,
03-28,5,
03-28,6,
03-28,7,
03-28,8,731
03-28,9,283
03-28,10,1209
03-28,11,925
03-28,12,1541
03-28,13,647
03-28,14,1154
03-28,15,
03-28,16,438
03-28,17,782
03-28,18,2210
03-28,19,704
03-28,20,
03-28,21,
03-28,22,135
03-28,23,1237
03-28,24,
03-29,1,
03-29,2,
03-29,3,
03-29,4,
03-29,5,
03-29,6,
03-29,7,
03-29,8,
03-29,9,
03-29,10,
03-29,11,10
03-29,12,2267
03-29,13,
03-29,14,1018
03-29,15,2589
03-29,16,8
03-29,17,
03-29,18,
03-29,19,
03-29,20,
03-29,21,
03-29,22,
03-29,23,
03-29,24,
03-30,1,
03-30,2,
03-30,3,
03-30,4,
03-30,5,
03-30,6,
03-30,7,
03-30,8,
03-30,9,
03-30,10,
03-30,11,
03-30,12,307
03-30,13,1621
03-30,14,117
03-30,15,154
03-30,16,349
03-30,17,208
03-30,18,1594
03-30,19,
03-30,20,
03-30,21,
03-30,22,
03-30,23,
03-30,24,
03-31,1,
03-31,2,
03-31,3,
03-31,4,
03-31,5,
03-31,6,
03-31,7,
03-31,8,
03-31,9,
03-31,10,
03-31,11,
03-31,12,90
03-31,13,890
03-31,14,454
03-31,15,231
03-31,16,286
03-31,17,304
03-31,18,911
03-31,19,
03-31,20,
03-31,21,
03-31,22,
03-31,23,
03-31,24,
04-01,1,
04-01,2,
04-01,3,
04-01,4,
04-01,5,
04-01,6,
04-01,7,
04-01,8,
04-01,9,
04-01,10,499
04-01,11,150
04-01,12,748
04-01,13,308
04-01,14,653
04-01,15,
04-01,16,1668
04-01,17,874
04-01,18,
04-01,19,
04-01,20,
04-01,21,
04-01,22,
04-01,23,
04-01,24,
04-02,1,
04-02,2,
04-02,3,
04-02,4,
04-02,5,
04-02,6,
04-02,7,
04-02,8,569
04-02,9,
04-02,10,1035
04-02,11,1755
04-02,12,888
04-02,13,
04-02,14,960
04-02,15,
04-02,16,391
04-02,17,571
04-02,18,
04-02,19,399
04-02,20,1002
04-02,21,1037
04-02,22,99
04-02,23,
04-02,24,
04-03,1,
04-03,2,
04-03,3,
04-03,4,
04-03,5,
04-03,6,
04-03,7,
04-03,8,
04-03,9,
04-03,10,174
04-03,11,829
04-03,12,1152
04-03,13,845
04-03,14,1589
04-03,15,1331
04-03,16,1103
04-03,17,402
04-03,18,445
04-03,19,187
04-03,20,439
04-03,21,1889
04-03,22,34
04-03,23,
04-03,24,
04-04,1,
04-04,2,
04-04,3,
04-04,4,
04-04,5,
04-04,6,
04-04,7,
04-04,8,359
04-04,9,189
04-04,10,1545
04-04,11,967
04-04,12,1108
04-04,13,
04-04,14,1450
04-04,15,9
04-04,16,453
04-04,17,881
04-04,18,637
04-04,19,728
04-04,20,49
04-04,21,2294
04-04,22,550
04-04,23,
04-04,24,
04-05,1,
04-05,2,
04-05,3,
04-05,4,
04-05,5,
04-05,6,
04-05,7,
04-05,8,
04-05,9,
04-05,10,
04-05,11,
04-05,12,1066
04-05,13,654
04-05,14,1019
04-05,15,
04-05,16,410
04-05,17,430
04-05,18,1022
04-05,19,301
04-05,20,25
04-05,21,
04-05,22,
04-05,23,
04-05,24,
04-06,1,
04-06,2,
04-06,3,
04-06,4,
04-06,5,
04-06,6,
04-06,7,
04-06,8,
04-06,9,
04-06,10,2318
04-06,11,186
04-06,12,
04-06,13,
04-06,14,19
04-06,15,189
04-06,16,
04-06,17,108
04-06,18,2862
04-06,19,48
04-06,20,
04-06,21,
04-06,22,
04-06,23,
04-06,24,
04-07,1,
04-07,2,
04-07,3,
04-07,4,
04-07,5,
04-07,6,
04-07,7,
04-07,8,
04-07,9,
04-07,10,
04-07,11,
04-07,12,1610
04-07,13,518
04-07,14,181
04-07,15,329
04-07,16,289
04-07,17,93
04-07,18,2710
04-07,19,
04-07,20,
04-07,21,
04-07,22,
04-07,23,
04-07,24,
04-08,1,
04-08,2,
04-08,3,
04-08,4,
04-08,5,
04-08,6,
04-08,7,
04-08,8,
04-08,9,
04-08,10,238
04-08,11,310
04-08,12,711
04-08,13,901
04-08,14,1315
04-08,15,165
04-08,16,1247
04-08,17,372
04-08,18,
04-08,19,413
04-08,20,916
04-08,21,20
04-08,22,
04-08,23,
04-08,24,
04-09,1,
04-09,2,
04-09,3,
04-09,4,
04-09,5,
04-09,6,
04-09,7,10
04-09,8,1240
04-09,9,314
04-09,10,793
04-09,11,2424
04-09,12,919
04-09,13,17
04-09,14,1525
04-09,15,
04-09,16,437
04-09,17,699
04-09,18,304
04-09,19,437
04-09,20,679
04-09,21,156
04-09,22,
04-09,23,
04-09,24,
04-10,1,
04-10,2,
04-10,3,
04-10,4,
04-10,5,
04-10,6,
04-10,7,
04-10,8,
04-10,9,
04-10,10,618
04-10,11,486
04-10,12,259
04-10,13,619
04-10,14,942
04-10,15,1160
04-10,16,511
04-10,17,606
04-10,18,462
04-10,19,463
04-10,20,278
04-10,21,175
04-10,22,464
04-10,23,943
04-10,24,
04-11,1,
04-11,2,
04-11,3,
04-11,4,
04-11,5,
04-11,6,
04-11,7,
04-11,8,750
04-11,9,292
04-11,10,759
04-11,11,2252
04-11,12,1230
04-11,13,
04-11,14,1421
04-11,15,
04-11,16,401
04-11,17,704
04-11,18,420
04-11,19,
04-11,20,470
04-11,21,461
04-11,22,981
04-11,23,541
04-11,24,
