구,종합지수,등급,인구밀도,주거지역
강남구,113.26,C,13859,24298708
강동구,92.59,D,17564,12966784
강북구,96.12,D,13683,10985275
강서구,94.67,C,14567,14719962
관악구,92.72,D,17587,15327248
광진구,99.41,D,21746,11598584
구로구,97.64,D,21793,10188383
금천구,90.9,D,19510,5845488
노원구,95.98,D,15468,13980338
도봉구,95.52,D,16531,8089653
동대문구,98.1,C,25630,13034193
동작구,92.68,C,25032,13790984
마포구,113.28,A,16199,13391126
서대문구,104.85,C,18331,15439372
서초구,105.81,C,9326,18887265
성동구,97.64,D,18771,9947641
성북구,100.78,C,18218,17791331
송파구,110.24,C,19883,21017099
양천구,86.86,C,26894,12536636
영등포구,105.34,C,16441,8013840
용산구,111.14,C,11209,12107810
은평구,93.15,D,16415,15376440
종로구,132.49,A,6817,9830557
중구,131.31,A,13618,6037439
중랑구,84.97,D,22067,10821891
